Label,Source,Target
6,2716,3476
623,2734,1216
513,2737,2485
507,2746,2197
503,2768,3571
504,2768,1343
1665,2775,2211
1666,2775,6548
1667,2775,6549
1668,2775,6550
1669,2775,6551
1670,2775,2931
1554,2797,1396
1555,2797,1290
1556,2797,712
1557,2797,659
1558,2797,3465
1559,2797,2701
1560,2797,1685
1561,2797,718
1562,2797,540
1563,2797,134
1564,2797,3693
1565,2797,3620
1496,2813,1441
1497,2813,2378
1498,2813,712
1499,2813,718
1500,2813,6119
1501,2813,1393
1502,2813,6120
1503,2813,6121
1504,2813,6122
1505,2813,6123
1506,2813,6124
1507,2813,134
1508,2813,2659
1509,2813,2977
1510,2813,2977
1632,2860,2964
1633,2860,718
1634,2860,6092
1635,2860,6049
1636,2860,6183
1637,2860,4950
1638,2860,6093
1639,2860,305
1640,2860,1088
1641,2860,1393
1642,2860,3718
1643,2860,3465
1644,2860,3620
1645,2860,2378
1646,2860,6499
1647,2860,409
1648,2860,3214
1649,2860,787
1650,2860,860
1651,2860,3774
1652,2860,6213
1653,2860,3484
1654,2860,3293
1655,2860,1497
1656,2860,6500
1657,2860,424
1658,2860,1913
1659,2860,134
1660,2860,2124
1661,2860,6501
1662,2860,413
1544,2922,3476
1545,2922,469
653,2931,6152
659,2938,817
655,2954,2192
1141,2963,3792
1142,2963,540
1143,2963,3620
1144,2963,3465
1145,2963,583
1146,2963,1497
1147,2963,3484
1148,2963,1672
1149,2963,1396
1150,2963,3693
1151,2963,2952
1152,2963,939
1153,2963,3483
1154,2963,3874
1155,2963,1055
1156,2963,2659
1157,2963,1393
1158,2963,2965
1159,2963,2982
1160,2963,451
1161,2963,3476
1162,2963,2534
1163,2963,2043
1164,2963,3482
1165,2963,321
1166,2963,2047
1167,2963,1840
1168,2963,3845
1169,2963,1567
1170,2963,1290
1171,2963,1685
1172,2963,2044
1173,2963,1573
1174,2963,3047
1175,2963,2246
1176,2963,2192
1177,2963,3643
1178,2963,1358
1179,2963,659
1180,2963,1240
1181,2963,493
1182,2963,2882
1183,2963,2863
1184,2963,678
1185,2963,3456
1186,2963,484
1187,2963,1224
1188,2963,2001
1189,2963,2371
1190,2963,761
1191,2963,3388
1192,2963,1209
1193,2963,214
1194,2963,3518
1195,2963,2704
1196,2963,3412
1197,2963,2312
1198,2963,134
1199,2963,3443
1200,2963,1441
1201,2963,2378
1202,2963,1751
136,2965,6035
137,2965,6036
138,2965,6037
139,2965,6038
140,2965,6000
141,2965,6039
142,2965,2331
143,2965,5131
144,2965,2304
145,2965,3075
146,2965,2954
147,2965,1009
148,2965,1554
149,2965,2536
150,2965,510
151,2965,2124
152,2965,2734
153,2965,817
154,2965,2938
155,2965,6005
156,2965,6040
157,2965,6006
158,2965,6041
159,2965,2766
160,2965,366
161,2965,3792
162,2965,2855
163,2965,6008
164,2965,6042
165,2965,1283
166,2965,2236
167,2965,6012
168,2965,6043
169,2965,1201
170,2965,1243
171,2965,3786
172,2965,3751
173,2965,3929
174,2965,181
175,2965,827
176,2965,899
177,2965,1430
178,2965,1471
179,2965,6017
180,2965,6044
181,2965,6018
182,2965,6045
183,2965,3285
184,2965,2524
185,2965,6019
186,2965,6046
187,2965,1381
